Name,Coordinates,Country,Description
Apollo 14,                  Longitude: 342.53°                   Latitude: -3.65°                   Elevation: -1063 m                ,United States,"Astronauts Alan Shepard and Ed Mitchell landed the Apollo 14 Lunar Excursion Module (LEM) in the Frau Mauro formation [3.64589° S, 342.52806° E]. Shephard and Mitchell landed at 09:18:11 UTC on 5 February 1971, and stayed on the lunar surface for 1 day and 9 hours, during which they performed two Extra-Vehicular Activities (EVA) totaling 9.37 hours and collecting 42.28 kg of lunar samples."
Apollo 15,                  Longitude: 3.63°                   Latitude: 26.13°                   Elevation: -1926 m                ,United States,"Astronauts David Scott and James Irwin landed the Apollo 15 Lunar Excursion Module (LEM) next to Hadley Rille in Mare Ibrium [26.13239° N, 3.63330° E]. Scott and Irwin landed at 22:16:29 UTC on 30 July 1971, and stayed on the lunar surface for 2 days and 18 hours, during which they performed three Extra-Vehicular Activities (EVA) totaling 18.5 hours and collecting 77 kg of lunar samples. Apollo 15 was the first of the J Class Missions, which included the new Metric and Panoramic orbital camera systems, the Lunar Rover and additional surface experiments."
Apollo 16,                  Longitude: 15.50°                   Latitude: -8.97°                   Elevation: 7 m                ,United States,"Astronauts John Young and Charles Duke landed the Apollo 16 Lunar Excursion Module (LEM) in the Descartes Highlands [8.9734° S, 16.5011° E]. Young and Duke landed at 02:23:35 UTC on 21 April 1972, and stayed on the lunar surface for 2 days and 23 hours, during which they performed three Extra-Vehicular Activities (EVA) totaling 20.25 hours and collecting 95.71 kg of lunar samples."
Apollo 17,                  Longitude: 30.77°                   Latitude: 20.19°                   Elevation: -2631 m                ,United States,"Astronauts Eugene Cernan and Harrison Schmitt landed the Apollo 17 Lunar Excursion Module (LEM) within the Taurus-Littrow Valley [20.1911° N, 30.7723° E]. Cernan and Schmitt landed at 19:45:57 UTC on 11 December 1972, and stayed on the lunar surface for 3 days and 2 hours, during which they performed three Extra-Vehicular Activities (EVA) totaling 22 hours and collecting 110.52 kg of lunar samples. Apollo 17 was the last manned mission to the lunar surface."
Apollo 13 S-IVB,                  Longitude: 332.11°                   Latitude: -2.56°                   Elevation: -1166 m                ,United States,The third stage of the Apollo 13 Saturn V launch vehicle was intentionally impacted on the lunar surface on 14 April 1970 to serve as an energy source to probe the interior structure of the Moon using seismometers placed on the surface by Apollo astronauts. The impact left a 37x28 meter crater.
Apollo 14 S-IVB,                  Longitude: 333.97°                   Latitude: -8.18°                   Elevation: -1785 m                ,United States,The third stage of the Apollo 14 Saturn V launch vehicle was intentionally impacted on the lunar surface on 4 February 1971 to serve as an energy source to probe the interior structure of the Moon using seismometers placed on the surface by Apollo astronauts. The impact left a 30 meter crater.
Apollo 15 S-IVB,                  Longitude: 348.18°                   Latitude: -1.29°                   Elevation: -1109 m                ,United States,The third stage of the Apollo 15 Saturn V launch vehicle was intentionally impacted on the lunar surface on 29 July 1971 to serve as an energy source to probe the interior structure of the Moon using seismometers placed on the surface by Apollo astronauts. The impact left a 36x38 meter crater.
Apollo 17 S-IVB,                  Longitude: 347.67°                   Latitude: -4.17°                   Elevation: -1206 m                ,United States,The third stage of the Apollo 17 Saturn V launch vehicle was intentionally impacted on the lunar surface on 10 December 1972 to serve as an energy source to probe the interior structure of the Moon using seismometers placed on the surface by Apollo astronauts. The impact left a 31 meter crater.
Surveyor 1,                  Longitude: 316.66°                   Latitude: -2.47°                   Elevation: -1889 m                ,United States,"Surveyor 1 was launched on 30 May 1966 and landed in Oceanus Procellarum  on 2 June 1966. The mission's objectives were to soft land on the Moon and collect information on the properties of the lunar regolith to prepare for the upcoming Apollo missions. Surveyor 1 carried a television camera system (which ultimately transmitted a total of 11,240 pictures) and an array of engineering sensors."
Surveyor 3,                  Longitude: 336.58°                   Latitude: -3.02°                   Elevation: -1432 m                ,United States,"Surveyor 3 was launched on 17 April 1967 and landed in Oceanus Procellarum on 20 April 1967. The mission's objectives were to soft land on the Moon and collect information on the properties of the lunar regolith to prepare for the upcoming Apollo missions. Surveyor 3 carried a television camera system (which ultimately returned 6326 images) and a soil mechanics surface sampling device (which operated for over 18 hours) to test the properties of the lunar surface.  During the Apollo 12 mission, Astronauts Pete Conrad and Alan Bean landed near Surveyor 3 in on 19 November 1969 and returned some of the components of the Surveyor 3 spacecraft to Earth for engineering analysis.  In the Surveyor 3 images, the Apollo 12 Lunar Module is clearly visible at the northwest edge of Surveyor Crater and, in the right lighting conditions, the tracks of the Apollo 12 astronauts are also clearly visible."
Surveyor 5,                  Longitude: 23.19°                   Latitude: 1.46°                   Elevation: -812 m                ,United States,"Surveyor 5 was launched on 8 September 1967 and landed in Mare Tranquillitatis on 11 September 1967. The mission's objectives were to soft land on the Moon and collect information on the properties of the lunar regolith to prepare for the upcoming Apollo missions. Surveyor 5 carried a television camera (ultimately returning 19,118 images) and an alpha particle backscattering instrument to measure the composition of the lunar regolith in-situ."
Surveyor 6,                  Longitude: 358.57°                   Latitude: 0.47°                   Elevation: -757 m                ,United States,"Surveyor 6 was launched on 7 November 1967 and landed in Sinus Medii on 10 November 1967. The mission's objectives were to soft land on the Moon and collect information on the properties of the lunar regolith to prepare for the upcoming Apollo missions. Surveyor 6 carried a television camera (ultimately returning 30,027 images) and an alpha particle backscattering instrument to measure the composition of the lunar regolith in-situ."
Surveyor 7,                  Longitude: 348.49°                   Latitude: -40.98°                   Elevation: 81 m                ,United States,"Surveyor 7 was launched on 7 January 1968 and landed near the north rim of Tycho crater on 10 January 1968.  The landing site for Surveyor 7, specifically chosen for primarily scientific reasons, was far from the lunar maria in the southern highlands in order to enable investigations of materials different from the other Surveyor missions.  Surveyor 7 carried a television camera (ultimately returning 21,038 images), an alpha particle backscattering instrument, and a soil mechanics surface sampling device."
Ranger 6,                  Longitude: 21.48°                   Latitude: 9.39°                   Elevation: -1995 m                ,United States,"The Ranger series of missions were designed to be launched into a lunar impact trajectory and provide progressively higher resolution images of the lunar surface right up until the point of impact in order to facilitate preparations for the Apollo missions. Ranger 6 was launched on 30 January 1964 and was intentionally impacted on the lunar surface on 2 February 1964 on the eastern edge of Mare Tranquillitatis, leaving a 14 meter crater.  Unfortunately, due to a hardware malfunction, no image data was returned."
Ranger 7,                  Longitude: 339.32°                   Latitude: -10.63°                   Elevation: -1791 m                ,United States,"The Ranger series of missions were designed to be launched into a lunar impact trajectory and provide progressively higher resolution images of the lunar surface right up until the point of impact in order to facilitate preparations for the Apollo missions. Ranger 7 was launched on 28 July 1964 and was intentionally impacted on the lunar surface on 31 July 1964 in Mare Cognitum, leaving a 13 meter crater.  4,308 images were returned prior to impact."
Ranger 8,                  Longitude: 24.79°                   Latitude: 2.64°                   Elevation: -2165 m                ,United States,"The Ranger series of missions were designed to be launched into a lunar impact trajectory and provide progressively higher resolution images of the lunar surface right up until the point of impact in order to facilitate preparations for the Apollo missions. Ranger 8 was launched on 17 February 1965 and was intentionally impacted on the lunar surface on 20 February 1965 in Mare Tranquillitatis, leaving a 12 meter crater.  7,137 images were returned prior to impact."
Ranger 9,                  Longitude: 357.61°                   Latitude: -12.83°                   Elevation: -1531 m                ,United States,"The Ranger series of missions were designed to be launched into a lunar impact trajectory and provide progressively higher resolution images of the lunar surface right up until the point of impact in order to facilitate preparations for the Apollo missions. Ranger 9 was launched on 21 March 1965 and was intentionally impacted on the lunar surface on 24 March 1965 in Alphonsus crater, leaving a 14 meter crater. 5814 images were returned prior to impact."
Luna 16,                  Longitude: 56.36°                   Latitude: -0.51°                   Elevation: -2452 m                ,Soviet Union,"Luna 16 was launched on 12 September 1970 and successfully landed on the lunar surface in Mare Fecunditatis on 20 September 1970.   After collecting 101 g of lunar soil, the Luna 16 ascent stage launched on 21 September 1970 and successfully landed back on Earth on 24 September 1970."
Luna 17,                  Longitude: 325.00°                   Latitude: 38.24°                   Elevation: -2473 m                ,Soviet Union,Luna 17 was the carrier spacecraft for the Lunokhod 1 rover.  Luna 17 was launched on 10 November 1970 and successfully landed in Mare Imbrium on 17 November 1970.  Lunokhod 1 was deployed several hours after landing.
Luna 20,                  Longitude: 56.62°                   Latitude: 3.79°                   Elevation: -1780 m                ,Soviet Union,"Luna 20 was a successful automated sample return. Luna 20 was launched on 14 February 1972 and successfully landed in the rugged lunar highlands between Mare Fecunditatis and Mare Crisium on 21 February 1972.  After collecting 55 g of lunar regolith, the Luna 20 ascent stage launched on 22 February 1973 and successfully landed back on Earth on 25 February 1972."
Luna 21,                  Longitude: 30.41°                   Latitude: 26.00°                   Elevation: -2683 m                ,Soviet Union,Luna 21 was the carrier spacecraft for the Lunokhod 2 rover. Luna 21 was launched on 8 January 1973 and successfully landed in Le Monnier crater on 15 January 1973. Lunokhod 2 was successfully deployed several hours after landing.
Luna 23,                  Longitude: 62.15°                   Latitude: 12.67°                   Elevation: -3668 m                ,Soviet Union,"Luna 23 was an attempted automated sample return mission. Luna 23 was launched on 28 October 1974 and landed in Mare Crisium on 6 November 1974.  Due to a spacecraft malfunction, a sample could not be obtained and the whole spacecraft (including the ascent stage) remains on the lunar surface."
Luna 24,                  Longitude: 62.21°                   Latitude: 12.71°                   Elevation: -3670 m                ,Soviet Union,"Luna 24 was a successful automated sample return. Luna 24 was launched on 9 August 1976 and successfully landed in Mare Crisium near the Luna 23 spacecraft on 18 August 1976. After collecting 170 g of lunar regolith, the Luna 24 ascent stage launched on 19 August 1976 and successfully landed back on Earth on 22 August 1976."
Lunokhod 1,                  Longitude: 324.99°                   Latitude: 38.32°                   Elevation: -2471 m                ,Soviet Union,"Lunokhod 1 was launched aboard the Luna 17 spacecraft on 10 November 1970, and the rover was deployed on 17 November following Luna 17's successful landing in Mare Imbrium. Lunokhod 1 carried a suite of analytical instrumentation including cameras, geotechnical measurement devices, an x-ray spectrometer, and cosmic-ray detectors.  Lunokhod 1 survived for eleven lunar days and traveled slightly over 10 km on the lunar surface."
Lunokhod 2,                  Longitude: 30.92°                   Latitude: 25.83°                   Elevation: -2761 m                ,Soviet Union,"Lunokhod 2 was launched aboard the Luna 21 spacecraft on 8 January 1973, and the rover was deployed on 16 January 1973 following a successful landing in Le Monnier crater.  Lunokhod 2 carried a suite of analytical instrumentation including cameras, geotechnical measurement devices, an astrophotometer, a magnetometer, a radiometer, a photodetector, and a laser retroreflector.  Lunokhod 2 operated for almost four months and traversed 39 km on the lunar surface."
